InventoryId,Store,City,Brand,Description,Size,onHand,Price,startDate
59_Laurelton_3237,59,Laurelton,3237,ChilledCherryCharm,1.75L,14,23.99,01/01/2016
59_Laurelton_3487,59,Laurelton,3487,SummerBerryBrio,750mL,21,16.99,01/01/2016
59_Laurelton_4246,59,Laurelton,4246,TranquilToffeeTwirl,375mL,24,5.49,01/01/2016
59_Laurelton_5124,59,Laurelton,5124,FrolicFrappe,1.75L,3,66.99,01/01/2016
59_Laurelton_5921,59,Laurelton,5921,SparklingSaffron,750mL,17,21.99,01/01/2016
41_Twilight Harbor_8102,41,Twilight Harbor,8102,MidnightMochaMist,1.75L,26,24.99,01/01/2016
41_Twilight Harbor_8370,41,Twilight Harbor,8370,LavenderLullaby,1.75L,8,10.99,01/01/2016
41_Twilight Harbor_8907,41,Twilight Harbor,8907,RadiantRainforestRipple,1.5L,5,6.99,01/01/2016
41_Twilight Harbor_11213,41,Twilight Harbor,11213,CitrusSilk,750mL,20,18.99,01/01/2016
41_Twilight Harbor_14383,41,Twilight Harbor,14383,SunlitSnowfruitSip,750mL,9,15.99,01/01/2016
41_Twilight Harbor_14439,41,Twilight Harbor,14439,LushLagoonLatte,750mL,24,4.99,01/01/2016
41_Twilight Harbor_16180,41,Twilight Harbor,16180,CozyCaramelCrave,750mL,6,10.99,01/01/2016
41_Twilight Harbor_19055,41,Twilight Harbor,19055,VelvetVista,750mL,7,9.99,01/01/2016
41_Twilight Harbor_19507,41,Twilight Harbor,19507,VelvetFizz,750mL,45,7.99,01/01/2016
41_Twilight Harbor_21412,41,Twilight Harbor,21412,DreamyDragonfruitDazzle,750mL,8,7.99,01/01/2016
41_Twilight Harbor_24002,41,Twilight Harbor,24002,EnchantedElderflowerElixir,1.5L,10,8.99,01/01/2016
41_Twilight Harbor_27644,41,Twilight Harbor,27644,EnchantedIced,750mL,17,9.99,01/01/2016
41_Twilight Harbor_29407,41,Twilight Harbor,29407,WildWisteriaWhirl,750mL,5,15.99,01/01/2016
41_Twilight Harbor_29996,41,Twilight Harbor,29996,WhisperQuencher,750mL,16,16.99,01/01/2016
45_Willow Lake_2679,45,Willow Lake,2679,OceanOpal,750mL,21,19.99,01/01/2016
45_Willow Lake_2854,45,Willow Lake,2854,CloudNineCafé,750mL,10,54.99,01/01/2016
45_Willow Lake_3237,45,Willow Lake,3237,ChilledCherryCharm,1.75L,3,23.99,01/01/2016
45_Willow Lake_3487,45,Willow Lake,3487,SummerBerryBrio,750mL,9,16.99,01/01/2016
45_Willow Lake_4246,45,Willow Lake,4246,TranquilToffeeTwirl,375mL,35,5.49,01/01/2016
45_Willow Lake_5124,45,Willow Lake,5124,FrolicFrappe,1.75L,8,66.99,01/01/2016
45_Willow Lake_5921,45,Willow Lake,5921,SparklingSaffron,750mL,20,21.99,01/01/2016
45_Willow Lake_6553,45,Willow Lake,6553,PomegranatePleasure,750mL,7,11.99,01/01/2016
34_Phoenixville_40175,34,Phoenixville,40175,SunburstSorbet,187mL 4 Pk,41,11.99,01/01/2016
34_Phoenixville_41212,34,Phoenixville,41212,SparkleBliss,750mL,18,15.99,01/01/2016
34_Phoenixville_42710,34,Phoenixville,42710,SereneSpritz,187mL,0,7.99,01/01/2016
34_Phoenixville_44854,34,Phoenixville,44854,ChocoMintMystique,750mL,9,51.99,01/01/2016
34_Phoenixville_45474,34,Phoenixville,45474,WhisperingWindchai,750mL,12,49.99,01/01/2016
34_Phoenixville_90011,34,Phoenixville,90011,RadiantRooibos,750mL,23,144.99,01/01/2016
35_Moonlight Cove_804,35,Moonlight Cove,804,TwilightTingle,Liter,3,15.49,01/01/2016
78_Serendipity Springs_44854,78,Serendipity Springs,44854,ChocoMintMystique,750mL,11,51.99,01/01/2016
50_Willowgate_33683,50,Willowgate,33683,FrothEuphoria,1.5L,5,20.99,01/01/2016
50_Willowgate_35862,50,Willowgate,35862,SunburstSip,750mL,21,19.99,01/01/2016
50_Willowgate_37731,50,Willowgate,37731,CosmicCider,3L,12,10.99,01/01/2016
50_Willowgate_40175,50,Willowgate,40175,SunburstSorbet,187mL 4 Pk,29,11.99,01/01/2016
50_Willowgate_41212,50,Willowgate,41212,SparkleBliss,750mL,4,15.99,01/01/2016
50_Willowgate_45474,50,Willowgate,45474,WhisperingWindchai,750mL,3,49.99,01/01/2016
51_Mountaincrest_1022,51,Mountaincrest,1022,FrostedFudgeFantasia,750mL,7,13.99,01/01/2016
51_Mountaincrest_1094,51,Mountaincrest,1094,TranquilBrew,750mL,3,41.99,01/01/2016
51_Mountaincrest_1397,51,Mountaincrest,1397,BlueberryBrew,750mL,44,13.99,01/01/2016
51_Mountaincrest_1692,51,Mountaincrest,1692,FrothyForestFable,750mL,12,18.49,01/01/2016
51_Mountaincrest_1896,51,Mountaincrest,1896,AlpineAloeAria,750mL,4,99.99,01/01/2016
33_Crestwood_5124,33,Crestwood,5124,FrolicFrappe,1.75L,8,66.99,01/01/2016
33_Crestwood_5921,33,Crestwood,5921,SparklingSaffron,750mL,20,21.99,01/01/2016
33_Crestwood_6553,33,Crestwood,6553,PomegranatePleasure,750mL,5,11.99,01/01/2016
33_Crestwood_8102,33,Crestwood,8102,MidnightMochaMist,1.75L,32,24.99,01/01/2016
33_Crestwood_8370,33,Crestwood,8370,LavenderLullaby,1.75L,10,10.99,01/01/2016
54_Cascade City_3688,54,Cascade City,3688,StarryNectar,1.75L,12,4.99,01/01/2016
54_Cascade City_3917,54,Cascade City,3917,SparklingSiesta,50mL,18,0.99,01/01/2016
54_Cascade City_4246,54,Cascade City,4246,TranquilToffeeTwirl,375mL,32,5.49,01/01/2016
54_Cascade City_5124,54,Cascade City,5124,FrolicFrappe,1.75L,6,66.99,01/01/2016
54_Cascade City_5921,54,Cascade City,5921,SparklingSaffron,750mL,32,21.99,01/01/2016
54_Cascade City_6553,54,Cascade City,6553,PomegranatePleasure,750mL,17,11.99,01/01/2016
9_Eldermere_2598,9,Eldermere,2598,TropicalTidewave,750mL,5,14.99,01/01/2016
9_Eldermere_2679,9,Eldermere,2679,OceanOpal,750mL,44,19.99,01/01/2016
9_Eldermere_2854,9,Eldermere,2854,CloudNineCafé,750mL,3,54.99,01/01/2016
9_Eldermere_3237,9,Eldermere,3237,ChilledCherryCharm,1.75L,3,23.99,01/01/2016
9_Eldermere_3296,9,Eldermere,3296,MysticMangoMingle,750mL,4,22.99,01/01/2016
9_Eldermere_3487,9,Eldermere,3487,SummerBerryBrio,750mL,14,16.99,01/01/2016
9_Eldermere_4246,9,Eldermere,4246,TranquilToffeeTwirl,375mL,54,5.49,01/01/2016
71_Emberfield_8102,71,Emberfield,8102,MidnightMochaMist,1.75L,36,24.99,01/01/2016
71_Emberfield_8370,71,Emberfield,8370,LavenderLullaby,1.75L,8,10.99,01/01/2016
71_Emberfield_8847,71,Emberfield,8847,LuminousLagoon,750mL,20,5.99,01/01/2016
71_Emberfield_11213,71,Emberfield,11213,CitrusSilk,750mL,13,18.99,01/01/2016
71_Emberfield_14383,71,Emberfield,14383,SunlitSnowfruitSip,750mL,12,15.99,01/01/2016
71_Emberfield_14439,71,Emberfield,14439,LushLagoonLatte,750mL,3,4.99,01/01/2016
71_Emberfield_15076,71,Emberfield,15076,MoonlitMacchiato,750mL,10,11.99,01/01/2016
71_Emberfield_15423,71,Emberfield,15423,RaspberryRoseRelish,750mL,1,12.99,01/01/2016
71_Emberfield_16159,71,Emberfield,16159,GlimmerQuench,750mL,39,9.99,01/01/2016
71_Emberfield_16328,71,Emberfield,16328,TranquilToastedTaffy,500mL,17,3.99,01/01/2016
71_Emberfield_19507,71,Emberfield,19507,VelvetFizz,750mL,16,7.99,01/01/2016
63_Moonlit Meadow_41212,63,Moonlit Meadow,41212,SparkleBliss,750mL,11,15.99,01/01/2016
64_Havenwood_1094,64,Havenwood,1094,TranquilBrew,750mL,6,41.99,01/01/2016
64_Havenwood_1397,64,Havenwood,1397,BlueberryBrew,750mL,63,13.99,01/01/2016
64_Havenwood_1692,64,Havenwood,1692,FrothyForestFable,750mL,12,18.49,01/01/2016
64_Havenwood_1896,64,Havenwood,1896,AlpineAloeAria,750mL,2,99.99,01/01/2016
64_Havenwood_2598,64,Havenwood,2598,TropicalTidewave,750mL,10,14.99,01/01/2016
64_Havenwood_2679,64,Havenwood,2679,OceanOpal,750mL,45,19.99,01/01/2016
64_Havenwood_2854,64,Havenwood,2854,CloudNineCafé,750mL,8,54.99,01/01/2016
64_Havenwood_3237,64,Havenwood,3237,ChilledCherryCharm,1.75L,9,23.99,01/01/2016
64_Havenwood_3487,64,Havenwood,3487,SummerBerryBrio,750mL,12,16.99,01/01/2016
5_Rosewood_3917,5,Rosewood,3917,SparklingSiesta,50mL,2,0.99,01/01/2016
5_Rosewood_4246,5,Rosewood,4246,TranquilToffeeTwirl,375mL,31,5.49,01/01/2016
5_Rosewood_5124,5,Rosewood,5124,FrolicFrappe,1.75L,6,66.99,01/01/2016
5_Rosewood_5921,5,Rosewood,5921,SparklingSaffron,750mL,4,21.99,01/01/2016
5_Rosewood_6553,5,Rosewood,6553,PomegranatePleasure,750mL,13,11.99,01/01/2016
5_Rosewood_8102,5,Rosewood,8102,MidnightMochaMist,1.75L,30,24.99,01/01/2016
5_Rosewood_8370,5,Rosewood,8370,LavenderLullaby,1.75L,8,10.99,01/01/2016
5_Rosewood_8907,5,Rosewood,8907,RadiantRainforestRipple,1.5L,8,6.99,01/01/2016
38_Willowfield_18884,38,Willowfield,18884,VanillaVelour,750mL,13,15.99,01/01/2016
38_Willowfield_19055,38,Willowfield,19055,VelvetVista,750mL,18,9.99,01/01/2016
38_Willowfield_19175,38,Willowfield,19175,StarrySipAmericano,750mL,7,11.99,01/01/2016
38_Willowfield_19507,38,Willowfield,19507,VelvetFizz,750mL,49,7.99,01/01/2016
38_Willowfield_19549,38,Willowfield,19549,FrostedFable,3L,16,14.99,01/01/2016
38_Willowfield_20400,38,Willowfield,20400,StarrySpicedSorbet,750mL,12,13.99,01/01/2016
38_Willowfield_20508,38,Willowfield,20508,DreamyDew,750mL,17,18.99,01/01/2016
38_Willowfield_21412,38,Willowfield,21412,DreamyDragonfruitDazzle,750mL,35,7.99,01/01/2016
17_Sunnyside_2854,17,Sunnyside,2854,CloudNineCafé,750mL,2,54.99,01/01/2016
17_Sunnyside_3237,17,Sunnyside,3237,ChilledCherryCharm,1.75L,13,23.99,01/01/2016
17_Sunnyside_3487,17,Sunnyside,3487,SummerBerryBrio,750mL,11,16.99,01/01/2016
17_Sunnyside_4246,17,Sunnyside,4246,TranquilToffeeTwirl,375mL,13,5.49,01/01/2016
17_Sunnyside_5124,17,Sunnyside,5124,FrolicFrappe,1.75L,5,66.99,01/01/2016
17_Sunnyside_5921,17,Sunnyside,5921,SparklingSaffron,750mL,12,21.99,01/01/2016
17_Sunnyside_6553,17,Sunnyside,6553,PomegranatePleasure,750mL,11,11.99,01/01/2016
25_Crystal Falls_2598,25,Crystal Falls,2598,TropicalTidewave,750mL,9,14.99,01/01/2016
25_Crystal Falls_2679,25,Crystal Falls,2679,OceanOpal,750mL,28,19.99,01/01/2016
25_Crystal Falls_2854,25,Crystal Falls,2854,CloudNineCafé,750mL,4,54.99,01/01/2016
25_Crystal Falls_3237,25,Crystal Falls,3237,ChilledCherryCharm,1.75L,2,23.99,01/01/2016
25_Crystal Falls_3487,25,Crystal Falls,3487,SummerBerryBrio,750mL,3,16.99,01/01/2016
25_Crystal Falls_3917,25,Crystal Falls,3917,SparklingSiesta,50mL,1,0.99,01/01/2016
25_Crystal Falls_4246,25,Crystal Falls,4246,TranquilToffeeTwirl,375mL,23,5.49,01/01/2016
25_Crystal Falls_5124,25,Crystal Falls,5124,FrolicFrappe,1.75L,8,66.99,01/01/2016
49_Sapphire Springs_1022,49,Sapphire Springs,1022,FrostedFudgeFantasia,750mL,11,13.99,01/01/2016
49_Sapphire Springs_1094,49,Sapphire Springs,1094,TranquilBrew,750mL,5,41.99,01/01/2016
49_Sapphire Springs_1397,49,Sapphire Springs,1397,BlueberryBrew,750mL,75,13.99,01/01/2016
49_Sapphire Springs_1692,49,Sapphire Springs,1692,FrothyForestFable,750mL,19,18.49,01/01/2016
49_Sapphire Springs_1896,49,Sapphire Springs,1896,AlpineAloeAria,750mL,10,99.99,01/01/2016
49_Sapphire Springs_2598,49,Sapphire Springs,2598,TropicalTidewave,750mL,10,14.99,01/01/2016
49_Sapphire Springs_2679,49,Sapphire Springs,2679,OceanOpal,750mL,33,19.99,01/01/2016
