InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
18_Mistwood_3237,18,Mistwood,3237,ChilledCherryCharm,1.75L,6,23.99,31/12/2016
18_Mistwood_3487,18,Mistwood,3487,SummerBerryBrio,750mL,13,16.99,31/12/2016
18_Mistwood_4246,18,Mistwood,4246,TranquilToffeeTwirl,375mL,18,5.49,31/12/2016
18_Mistwood_5124,18,Mistwood,5124,FrolicFrappe,1.75L,3,64.99,31/12/2016
18_Mistwood_5921,18,Mistwood,5921,SparklingSaffron,750mL,5,19.99,31/12/2016
18_Mistwood_6553,18,Mistwood,6553,PomegranatePleasure,750mL,11,13.99,31/12/2016
18_Mistwood_8102,18,Mistwood,8102,MidnightMochaMist,1.75L,9,24.99,31/12/2016
29_Golden Hills_2598,29,Golden Hills,2598,TropicalTidewave,750mL,7,16.99,31/12/2016
29_Golden Hills_3487,29,Golden Hills,3487,SummerBerryBrio,750mL,4,16.99,31/12/2016
29_Golden Hills_4246,29,Golden Hills,4246,TranquilToffeeTwirl,375mL,6,5.49,31/12/2016
29_Golden Hills_5921,29,Golden Hills,5921,SparklingSaffron,750mL,5,19.99,31/12/2016
29_Golden Hills_6553,29,Golden Hills,6553,PomegranatePleasure,750mL,6,13.99,31/12/2016
29_Golden Hills_7725,29,Golden Hills,7725,MidnightMangoMist,750mL,9,9.99,31/12/2016
29_Golden Hills_8102,29,Golden Hills,8102,MidnightMochaMist,1.75L,5,24.99,31/12/2016
23_Willowbrook_7725,23,Willowbrook,7725,MidnightMangoMist,750mL,28,9.99,31/12/2016
23_Willowbrook_8102,23,Willowbrook,8102,MidnightMochaMist,1.75L,48,24.99,31/12/2016
23_Willowbrook_8370,23,Willowbrook,8370,LavenderLullaby,1.75L,25,8.99,31/12/2016
23_Willowbrook_8847,23,Willowbrook,8847,LuminousLagoon,750mL,11,5.99,31/12/2016
23_Willowbrook_8907,23,Willowbrook,8907,RadiantRainforestRipple,1.5L,2,6.99,31/12/2016
23_Willowbrook_11213,23,Willowbrook,11213,CitrusSilk,750mL,32,21.99,31/12/2016
23_Willowbrook_13932,23,Willowbrook,13932,VelvetVanillaVoyage,750mL,0,4.79,31/12/2016
32_Oceanview_1094,32,Oceanview,1094,TranquilBrew,750mL,6,41.99,31/12/2016
32_Oceanview_1397,32,Oceanview,1397,BlueberryBrew,750mL,28,14.99,31/12/2016
32_Oceanview_1655,32,Oceanview,1655,StarlitSaffronSensation,750mL,3,198.99,31/12/2016
32_Oceanview_1692,32,Oceanview,1692,FrothyForestFable,750mL,17,17.99,31/12/2016
