InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
1_Havenbrook_14439,1,14439,LushLagoonLatte,750mL,3252,BrewBliss Beverages,8326,04/01/2016,14/01/2016,22/01/2016,27/02/2016,3.42,12,41.04,2
72_Silvergate_24094,72,24094,CitrusSilhouette,1.5L,3252,BrewBliss Beverages,8326,04/01/2016,13/01/2016,22/01/2016,27/02/2016,4.57,6,27.42,2
73_Cypress Springs_8907,73,8907,RadiantRainforestRipple,1.5L,3252,BrewBliss Beverages,8326,04/01/2016,15/01/2016,22/01/2016,27/02/2016,4.63,6,27.78,2
34_Phoenixville_4246,34,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,04/01/2016,19/01/2016,18/02/2016,4.22,19,80.18,1
74_Velvet Vista_4246,74,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,06/01/2016,19/01/2016,18/02/2016,4.22,23,97.06,1
41_Twilight Harbor_4246,41,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,06/01/2016,19/01/2016,18/02/2016,4.22,20,84.4,1
71_Emberfield_4246,71,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,07/01/2016,19/01/2016,18/02/2016,4.22,23,97.06,1
43_Mystic Hollow_4246,43,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,06/01/2016,19/01/2016,18/02/2016,4.22,24,101.28,1
7_Misty Hollow_4246,7,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8288,01/01/2016,08/01/2016,19/01/2016,18/02/2016,4.22,24,101.28,1
5_Rosewood_14439,5,14439,LushLagoonLatte,750mL,3252,BrewBliss Beverages,8624,25/01/2016,05/02/2016,15/02/2016,25/03/2016,3.42,12,41.04,2
76_Sapphire Shores_8907,76,8907,RadiantRainforestRipple,1.5L,3252,BrewBliss Beverages,8624,25/01/2016,02/02/2016,15/02/2016,25/03/2016,4.63,6,27.78,2
22_Stonebridge_24094,22,24094,CitrusSilhouette,1.5L,3252,BrewBliss Beverages,8624,25/01/2016,04/02/2016,15/02/2016,25/03/2016,4.57,12,54.84,2
51_Mountaincrest_14439,51,14439,LushLagoonLatte,750mL,3252,BrewBliss Beverages,8624,25/01/2016,01/02/2016,15/02/2016,25/03/2016,3.42,11,37.62,2
68_Radiant Ridge_13932,68,13932,VelvetVanillaVoyage,750mL,3252,BrewBliss Beverages,8624,25/01/2016,05/02/2016,15/02/2016,25/03/2016,3.13,12,37.56,2
6_Echo Harbor_40175,6,40175,SunburstSorbet,187mL 4 Pk,480,SipSerenity Supplies,8433,12/01/2016,20/01/2016,29/01/2016,10/03/2016,8.21,6,49.26,2
31_Maplewood_4246,31,4246,TranquilToffeeTwirl,375mL,480,SipSerenity Supplies,8433,12/01/2016,21/01/2016,29/01/2016,10/03/2016,4.22,23,97.06,1
